Indicator Categoy,Hazard Risk,,,,Environment Indicators,,,,,Transportation,,,Community,,,,,,Public Realm,,,,Housing,,,,,,,Economy,,Health,,,,,,Demographics,,,,,,,,,,,,,,,,,
Field,Flood_Per,Heat_Per,Liq_Per,Haz_Score,Imp_Per,Tree_Per,PM_Conc,Tox_Per,Env_Score,AT_Min,PTrans_Sco,Trans_Sco,VCrim_Rate,Vot_Rate,NewSF_Per,Citz_Per,Eng_Per,Com_Score,Food_Score,HS_Per,32.50%,PR_Score,LivAl_Per,EldLivAl_Per,OC_Per,Viol_Rate,AC_Per,Rent_Per,House_Score,Emp_per,Ec_Score,Shelt_Rate,SheltDay_Rate,,Dis_Per,PrevHos,Health_Score,Over85_Per,Over65_Per,Under18_Per,Under5_Per,NonWhi_Per,Lat_Per,Black_Per,Asian_Per,Pov_Per,PopDens,DayPopDens,Dem_Score,Res_Score,Res_Rank,,,,
Golden Gate Park,0.02258690000,0.00000000000,0.05808950000,NULL,0.14671900000,0.47687500000,8.36935000000,0,NULL,23.03070000000,21.60980000000,NULL,1134.50000000000,0.00000000000,NULL,NULL,NULL,NULL,59.55370000000,NULL,0.17997900000,NULL,NULL,NULL,NULL,66.67000000000,0.00230000000,NULL,NULL,NULL,NULL,23.39180000000,3.36984000000,,NULL,689.44300000000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,101.46400000000,704.31300000000,NULL,NULL,NULL,,,,
Haight Ashbury,0.00000000000,0.06148720000,0.07092660000,4,0.63575900000,0.20102300000,8.62574000000,0.00032477500,4,40.02510000000,34.60760000000,4,29.49770000000,0.78891100000,0.100874064,0.085411538,0.037749713,5,86.87240000000,0.967676335,0.50695600000,5,0.401278676,0.062053404,0.006299361,8.46000000000,0.00040000000,0.127679579,3,0.933325452,4,0.14136300000,0.18596600000,,0.073050952,741.68900000000,4,NULL,0.073664825,0.089888626,0.045207402,0.249671139,0.090107866,0.060291151,0.085942296,0.214899588,27822.60000000000,21149.50000000000,5,5,4,,,,
Inner Richmond,0.00000000000,0.05809080000,0.00700440000,5,0.73639200000,0.09514790000,8.49693000000,0.00353225000,3,26.58070000000,26.20580000000,3,17.38710000000,0.74118200000,0.107572071,0.145128103,0.201807458,3,73.73480000000,0.883379796,0.61034200000,4,0.333675317,0.071876886,0.035365118,6.08000000000,0.00230000000,0.148280024,3,0.928047531,3,0.31200400000,0.27340700000,,0.107185468,507.24000000000,3,0.017945409,0.128271933,0.125398719,0.03813095,0.535878643,0.058925223,0.02885388,0.376829239,0.256032531,26842.10000000000,30631.30000000000,4,4,15,,,,
Inner Sunset,0.00000000000,0.00000000000,0.10943900000,5,0.54708900000,0.20487100000,8.33947000000,0.10683700000,5,16.36610000000,23.82810000000,2,13.31700000000,0.76746800000,0.11140891,0.119658508,0.139654913,4,76.72620000000,0.943962581,0.34272800000,3,0.33466951,0.07326226,0.019275053,5.54000000000,0.00000000000,0.119658849,4,0.960438008,5,0.23639700000,0.15339800000,,0.061170592,626.97900000000,5,0.023840114,0.128622413,0.117701642,0.05267666,0.409778729,0.057958601,0.010920771,0.308922198,0.198037116,19012.10000000000,29299.10000000000,4,4,10,,,,
Lakeshore,0.00868949000,0.00000000000,0.12607200000,4,0.29088300000,0.17377100000,8.26160000000,0.03071500000,5,14.78340000000,7.97374000000,1,22.66320000000,0.73393200000,0.232986526,0.196250499,0.1803649,2,28.84540000000,0.917331472,0.14642500000,1,0.327529924,0.146898803,0.030157003,2.18000000000,0.00520000000,0.277475517,2,0.905557412,2,0.30764500000,0.24615400000,,0.092812006,733.11400000000,2,0.025840668,0.141333785,0.103531934,0.025897089,0.590498759,0.107989167,0.050101557,0.337395622,0.311442112,5349.84000000000,6686.27000000000,3,2,23,,,,
Marina,0.00715195000,0.00000000000,0.52652200000,2,0.69901100000,0.09760380000,8.52847000000,0.19640400000,2,38.67830000000,33.02160000000,4,28.41290000000,0.78296000000,0.118925831,0.084302179,0.038233955,5,59.89810000000,0.970154512,0.50033600000,4,0.559920254,0.088311305,0.008048438,6.08000000000,0.00630000000,0.106401831,3,0.929396662,3,0.28460300000,0.29274000000,,0.068334643,462.19400000000,3,0.023229412,0.127194132,0.092611999,0.040695136,0.165051087,0.068378308,NULL,0.118024627,0.111911623,21747.90000000000,21143.40000000000,5,4,9,,,,
Mission,0.00000000000,0.78119800000,0.31379700000,2,0.83748800000,0.07510720000,8.81032000000,0.06324180000,2,36.41620000000,37.51880000000,4,91.50180000000,0.71255300000,0.05127091,0.267413106,0.26101962,2,86.99060000000,0.831524477,0.66734900000,4,0.36627778,0.075943752,0.099143858,9.63000000000,0.07690000000,0.141995298,2,0.927805269,3,0.27243500000,0.16751900000,,0.101469823,1217.45000000000,3,0.014608496,0.09606791,0.120206026,0.043197358,0.33586978,0.386371386,0.039015811,0.137721864,0.331993324,31818.30000000000,51745.80000000000,3,2,25,,,,
Mission Bay,0.13251400000,0.97039600000,0.95610100000,1,0.79257000000,0.03062990000,8.72714000000,0.14559400000,1,35.67500000000,22.88770000000,4,31.81820000000,0.75170500000,0.223257502,0.356252749,0.217846461,1,53.28230000000,0.937105996,0.41544000000,3,0.415347138,NULL,0.041656516,0.52000000000,0.64980000000,0.112302071,5,0.941730635,5,0.11363600000,0.05760370000,,0.062111801,486.83100000000,5,NULL,0.067725753,0.077878643,0.041567129,0.555064501,0.0960344,NULL,0.438007645,0.230530339,12095.60000000000,23861.30000000000,4,3,17,,,,
Nob Hill,0.00000000000,0.85912500000,0.03228160000,2,0.87253500000,0.04987430000,8.70494000000,0,2,41.42380000000,89.41520000000,5,29.90660000000,0.70878700000,0.110047847,0.155800256,0.229858237,3,91.35510000000,0.848297055,0.85590000000,5,0.525289074,0.115000393,0.075355935,9.91000000000,0.01680000000,0.15724062,1,0.937402799,4,0.27064800000,0.32710000000,,0.086878293,856.65800000000,4,0.027203016,0.161675877,0.068543032,0.02694598,0.503362893,0.095060618,0.030330292,0.402390438,0.3187251,60138.70000000000,49759.80000000000,4,3,19,,,,
Noe Valley,0.00000000000,0.00044602500,0.02988370000,5,0.65147300000,0.15497800000,8.35925000000,0,4,22.55800000000,29.42690000000,3,13.17550000000,0.82450900000,0.069848137,0.125831821,NULL,5,80.15920000000,0.965022274,0.35845000000,4,0.387903001,0.069683174,0.015423209,7.64000000000,0.01820000000,0.077673511,3,0.946319616,5,0.46320100000,0.57759000000,,0.067981967,559.87700000000,5,0.016069276,0.105700129,0.131768067,0.052939338,0.211935901,0.143909298,0.035620229,0.10940499,0.139043878,21665.70000000000,17374.90000000000,5,5,3,,,,
North Beach,0.01139500000,0.59581500000,0.56713000000,1,0.73740200000,0.11680800000,8.72103000000,0.02411390000,3,41.26150000000,50.16690000000,5,75.41350000000,0.73978800000,0.136234242,0.272481943,0.291367403,2,85.00880000000,0.850702437,0.51385000000,4,0.52376262,0.12398424,0.058852499,7.83000000000,0.01320000000,0.166707707,1,0.925189698,3,0.31653100000,0.10571700000,,0.119042791,676.25200000000,3,0.028662205,0.195835868,0.076725478,0.021158656,0.475089569,0.08084905,NULL,0.385925776,0.339620091,20251.00000000000,60634.40000000000,2,2,24,,,,
Ocean View,0.00000000000,0.10421200000,0.03593250000,4,0.65124100000,0.08294140000,8.49621000000,0.05688480000,3,14.13760000000,17.16330000000,1,30.25220000000,0.66801900000,0.035051485,0.2161941,0.350892885,2,44.84290000000,0.805613518,0.20594200000,1,0.221789883,0.083807243,0.085802654,5.30000000000,0.00210000000,0.088695999,4,0.88257329,1,0.20960000000,0.21257000000,,0.107207663,780.75000000000,1,0.017372163,0.14647351,0.169973525,0.035517744,0.696879555,0.180295684,0.107951334,0.485468662,0.281643216,21384.70000000000,21085.90000000000,2,2,27,,,,
Outer Mission,0.00000000000,0.38940700000,0.03663640000,2,0.69980800000,0.08416860000,8.81028000000,0.12387300000,2,14.58790000000,25.98750000000,2,38.20500000000,0.69795000000,0.02253015,0.217399395,0.326292629,3,64.93870000000,0.818236799,0.21874800000,2,0.204708884,0.085363025,0.101600557,4.80000000000,0.00120000000,0.06993737,4,0.929579972,4,0.21748600000,0.24193500000,,894,827.00900000000,4,0.019504031,0.144760213,0.171847247,0.06852029,0.608689712,0.274012843,NULL,0.452213417,0.260247302,20054.10000000000,18027.40000000000,1,2,26,,,,
Outer Richmond,0.01564240000,0.06794050000,0.01827470000,5,0.75505800000,0.05785320000,8.21678000000,0,3,23.06650000000,19.17430000000,3,15.52090000000,0.71535100000,0.051507131,0.144725521,0.299760934,3,47.19350000000,0.870934435,0.40385000000,2,0.342474961,0.104658197,0.047388586,4.07000000000,0.02710000000,0.140686966,3,0.923639463,3,0.30651800000,0.36123600000,,0.095679923,592.53800000000,3,0.024107694,0.151859698,0.143198091,0.046552788,0.558794347,0.075675096,0.012067255,0.464106621,0.253412352,26444.50000000000,22438.80000000000,3,3,18,,,,
Outer Sunset,0.01766960000,0.00000000000,0.10783400000,5,0.70687400000,0.05034690000,8.22419000000,0,4,16.36900000000,14.63440000000,1,14.33410000000,0.70265700000,0.046153515,0.134066058,0.317081364,3,52.51780000000,0.849829062,0.22919900000,2,0.219847881,0.084932995,0.038271158,3.72000000000,0.00620000000,0.101533261,5,0.927789683,3,0.27363200000,0.35614500000,,0.098116035,682.48800000000,3,0.030528795,0.161657033,0.153992721,0.044080497,0.650117748,0.054142582,NULL,0.580475273,0.2229073,19472.10000000000,14960.80000000000,2,3,20,,,,
Pacific Heights,0.00000000000,0.32684100000,0.01597620000,3,0.70196500000,0.13922800000,8.43993000000,0.00025629800,4,38.83200000000,48.40620000000,4,15.39430000000,0.79870100000,0.133526179,0.100947867,0.042856277,4,72.39050000000,0.987271496,0.47471900000,4,0.549776231,0.117155644,0.020188961,5.53000000000,0.03980000000,0.11636002,2,0.965726681,5,0.15816100000,0.15133200000,,0.063221988,950.22900000000,5,0.024696978,0.157400558,0.10675468,0.061230296,0.208501679,0.055198316,NULL,0.134410744,0.128378763,28321.20000000000,29599.30000000000,5,5,7,,,,
Parkside,0.00978907000,0.00000000000,0.05215490000,5,0.67931500000,0.05344550000,8.27012000000,0.00241614000,4,16.34700000000,14.63700000000,1,14.57300000000,0.70967500000,0.028884994,0.124947917,0.317824248,4,53.13900000000,0.810104167,0.37202300000,2,0.195434106,0.107921135,0.058572582,3.53000000000,0.01170000000,0.121757177,5,0.899525806,1,0.18216300000,0.18780800000,,0.103857791,666.70100000000,1,0.03698941,0.172465961,0.153933434,0.043229955,0.627534039,0.067322239,NULL,0.554462935,0.227874433,18120.80000000000,17576.20000000000,2,3,22,,,,
Potrero Hill,0.01007110000,0.73568000000,0.36094700000,2,0.75481600000,0.08735740000,8.67769000000,0.22736600000,2,36.33790000000,17.52880000000,3,68.17820000000,0.77778400000,0.086854852,0.121472884,0.064886165,4,51.66740000000,0.954772864,0.06600350000,2,0.376717154,0.042092286,0.026946108,4.29000000000,0.09170000000,0.075378654,5,0.923181509,2,0.32273700000,0.30041300000,,0.066107548,790.42100000000,2,NULL,0.074494327,0.133941786,0.061009702,0.304719618,0.110672587,0.046949515,0.143068574,0.166419997,9041.17000000000,9713.02000000000,5,4,13,,,,
Presidio,0.02971510000,0.00000000000,0.18991500000,4,0.20117300000,0.32781300000,8.24549000000,0.13424100000,5,38.66790000000,9.15899000000,3,0.66979200000,0.70640000000,0.095812633,NULL,NULL,3,29.61940000000,0.97778828,0.00041347900,2,0.311355311,NULL,0.008241758,0.54000000000,0.00410000000,NULL,5,0.98071066,5,1.00469000000,0.50513600000,,NULL,6.39780000000,5,NULL,0.026745398,0.205279611,0.097255992,0.175060785,NULL,NULL,0.103508163,NULL,1255.45000000000,2497.03000000000,5,5,1,,,,
Presidio Heights,0.00000000000,0.14597000000,0.00000000000,4,0.70958800000,0.11528300000,8.34178000000,0,4,37.72490000000,26.43220000000,4,19.73180000000,0.79658800000,0.057531167,0.072917999,0.089161941,5,59.80010000000,0.957400537,0.78698700000,5,0.44341995,0.139354568,0.005867561,6.73000000000,0.00010000000,0.116093881,2,0.903665098,2,0.37945900000,0.22934000000,,0.109658751,489.33500000000,2,0.022550389,0.169926162,0.152763919,0.049890241,0.297744961,0.068948314,NULL,0.219117941,0.174915187,17975.70000000000,29742.00000000000,4,4,11,,,,
Russian Hill,0.00279819000,0.23217700000,0.14366900000,3,0.74693100000,0.12524100000,8.49107000000,0.00434197000,3,41.40920000000,59.10380000000,5,23.51730000000,0.75857700000,0.137975845,0.114928801,0.102666981,4,86.52030000000,0.920073496,0.52859700000,5,0.529171767,0.146878825,0.03495172,9.56000000000,0.01850000000,0.126886985,1,0.947952502,5,0.11471800000,0.16372000000,,0.072548277,860.63100000000,5,0.02249148,0.165467626,0.073759939,0.037410072,0.274517228,0.062400606,NULL,0.220825445,0.187277546,36565.30000000000,25621.30000000000,5,4,14,,,,
Seacliff,0.03784870000,0.00000000000,0.29804300000,3,0.22890700000,0.29276700000,8.08114000000,0.10344000000,5,23.06740000000,14.38360000000,2,13.26570000000,0.71789200000,NULL,NULL,0.09021601,4,30.65660000000,0.977338757,0.20839500000,2,0.223819302,0.140657084,NULL,5.77000000000,0.04040000000,NULL,3,0.967741935,5,1.17050000000,0.62461000000,,0.075636943,577.44400000000,5,0.058519108,0.217356688,0.203025478,0.060111465,0.313694268,NULL,NULL,0.148089172,NULL,3552.95000000000,6658.15000000000,2,5,6,,,,
South of Market,0.00237972000,0.99995700000,0.74606400000,1,0.88775600000,0.04655860000,9.42913000000,0.19675700000,1,43.01450000000,58.01290000000,5,174.94100000000,0.68366500000,0.132064754,0.211246716,0.211627992,1,81.65460000000,0.878718535,0.68040000000,4,0.552038627,0.111722103,0.085501609,5.40000000000,0.22730000000,0.14069206,2,0.933101547,4,0.19143600000,0.04025410000,,0.165267983,1196.83000000000,4,0.013610719,0.125987306,0.078561354,0.038117066,0.527433004,0.113716502,0.071614951,0.335331453,0.349858956,22658.10000000000,107755.00000000000,3,2,28,,,,
Treasure Island YBI,0.26290500000,0.00000000000,0.79269700000,2,0.45612300000,0.18270100000,8.31928000000,0.97773000000,1,43.26890000000,0.90643100000,3,22.91670000000,0.56368300000,NULL,0.276197085,NULL,1,0.00000000000,0.910478834,0.00000000000,1,NULL,NULL,0.007949126,0.07000000000,0.01690000000,0.236883943,4,0.908099688,2,0.34722200000,0.37979500000,,NULL,1349.84000000000,2,NULL,NULL,0.146741303,NULL,0.590963615,0.181527389,NULL,0.177928828,0.567772891,3241.93000000000,2963.89000000000,2,1,32,,,,
Twin Peaks,0.00000000000,0.00000000000,0.16899500000,4,0.35798500000,0.22747100000,8.24542000000,0,5,15.62800000000,21.67920000000,2,24.48270000000,0.77861600000,0.065594406,0.098675272,0.104086573,5,62.25410000000,0.949728261,0.26078700000,3,0.461740654,0.125,NULL,5.77000000000,0.00640000000,0.080315421,2,0.909513961,2,0.00000000000,0.00000000000,,0.154927617,508.76300000000,2,0.044961024,0.188891982,0.098552339,NULL,0.320573497,0.075723831,0.036887528,0.147132517,0.196826281,10344.70000000000,8333.67000000000,4,4,12,,,,
Visitacion Valley,0.00000000000,0.25130400000,0.03339470000,3,0.48764100000,0.17643500000,8.53593000000,0.04245690000,5,14.46090000000,16.30530000000,1,53.58930000000,0.50804400000,0.034852283,0.268184506,0.428933485,1,24.82230000000,0.695002957,0.13242200000,1,0.186241312,0.086437355,0.127428266,3.46000000000,0.11570000000,0.136339333,4,0.844035007,1,0.12520900000,0.16293700000,,0.110342813,1134.51000000000,1,0.016020647,0.127337359,0.227064667,0.05853136,0.851236852,0.179246202,0.14447799,0.561014803,0.436355668,16164.40000000000,12421.50000000000,1,1,33,,,,
West of Twin Peaks,0.00000000000,0.00253739000,0.07982200000,5,0.51734300000,0.17499700000,8.27451000000,0,5,15.09310000000,19.83900000000,2,15.30140000000,0.82320600000,0.023426061,0.084902927,0.124268265,5,56.79730000000,0.941813967,0.25651900000,3,0.219433941,0.097742638,0.011114931,3.56000000000,0.00000000000,0.036553226,5,0.931075602,4,0.24365300000,0.22474900000,,0.081403015,587.31400000000,4,0.027251549,0.173926421,0.191332249,0.046415542,0.438002725,0.108610611,0.019471672,0.31181047,0.140828975,10847.90000000000,11760.30000000000,3,5,8,,,,
Western Addition,0.00000000000,0.54609000000,0.04002370000,2,0.76816900000,0.10947200000,8.81226000000,0.00337005000,2,39.83980000000,50.18250000000,5,48.11780000000,0.74215700000,0.089184427,0.145920208,0.147726434,3,83.46950000000,0.925354154,0.84368100000,5,0.520402636,0.158978063,0.022885258,8.15000000000,0.03310000000,0.197300713,1,0.938195397,5,0.27054200000,0.36011900000,,0.141532712,1151.01000000000,5,0.036269554,0.158397815,0.088086625,0.025872601,0.45063843,0.109335697,0.160793426,0.192511319,0.33423568,34121.10000000000,25633.70000000000,3,3,21,,,,
Total,0.020524479,0.26873294,0.227854341,,0.63500000000,0.137987992,8.52429000000,0.069358718,,49.00000000000,No Total Available,,53.10000000000,0.72500000000,0.076424136,0.180120394,0.232770771,,No Total Available,0.859401187,0.325489005,,0.394086357,0.10089221,0.06,3.14200000000,Not Available Yet,0.221,,0.92,,Not Available Yet,Not Available Yet,,0.105267067,894.5,,0.021652605,0.137438951,0.134140921,0.044333987,0.501327754,0.058189674,0.332677606,0.14742589,0.28,17179.00000000000,23280.90000000000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
